Domain,IP,Server,Tag
54snw6zk.nextbahis.coupons,,,ClearFake
vn3oxoji.readthisintro.xyz,172.67.134.212,cloudflare,ClearFake
7orku7ut.taxrundo.sk,172.67.170.122,cloudflare,ClearFake
ujlo7o5o.readthisintro.xyz,104.21.6.120,cloudflare,ClearFake
mdazhynx.btyek.site,,,ClearFake
45cbh9h6.liketudong.biz,188.114.96.3,cloudflare,ClearFake
g1wgxqj5.nextbahis.one,,,ClearFake
wgp8mmcl.nextbahis.app,,,ClearFake
hdz7omr1.nextbahis.blog,,,ClearFake
54snw6zk.nextbahis.coupons,,,ClearFake
7orku7ut.taxrundo.sk,172.67.170.122,cloudflare,ClearFake
tafhu17n.nextbahis.blog,,,ClearFake
qhy0wolx.casinomhub.bet,172.67.185.156,cloudflare,ClearFake
xt19c0ua.casinomhub.bet,188.114.96.3,cloudflare,ClearFake
qhy0wolx.casinomhub.bet,172.67.185.156,cloudflare,ClearFake
xt19c0ua.casinomhub.bet,104.21.19.71,cloudflare,ClearFake
eg125q1i.dvfb-vn.com,188.114.97.3,cloudflare,ClearFake
io626zjiw.6p.christmas,N/A,cloudflare,New WebDAV
pg1mu94o.yek.baby,,,ClearFake
7orku7ut.taxrundo.sk,2606:4700:3036::ac43:aa7a,cloudflare,ClearFake
zxuq0oha.bord90.bet,,,ClearFake
g1wgxqj5.nextbahis.one,,,ClearFake
wgp8mmcl.nextbahis.app,,,ClearFake
p43qsij4.nextbahis.one,,,ClearFake
hdz7omr1.nextbahis.blog,,,ClearFake
54snw6zk.nextbahis.coupons,,,ClearFake
vkm4ju.ieyxj18ognc.christmas,N/A,cloudflare,New WebDAV
tafhu17n.nextbahis.blog,,,ClearFake
qhy0wolx.casinomhub.bet,188.114.97.3,cloudflare,ClearFake
xt19c0ua.casinomhub.bet,188.114.96.3,cloudflare,ClearFake
wgp8mmcl.nextbahis.app,,,ClearFake
wgp8mmcl.nextbahis.app,,,ClearFake
i0wrocb4.bet90forward.win,104.21.95.112,cloudflare,ClearFake
54snw6zk.nextbahis.coupons,,,ClearFake
54snw6zk.nextbahis.coupons,,,ClearFake
kn46xsmt.readthisintro.xyz,172.67.134.212,cloudflare,ClearFake
j2is56.8e6dvhs.christmas,N/A,cloudflare,New WebDAV
wgp8mmcl.nextbahis.app,,,ClearFake
k2wrdo.b24t2g3pny7.christmas,N/A,cloudflare,New WebDAV
www.7s0dwpmd.christmas,N/A,cloudflare,New WebDAV
54snw6zk.nextbahis.coupons,,,ClearFake
9c8joror.melbetir.app,,,ClearFake
0mx8cbge.fa1xbet.vip,,,ClearFake
apple.support-page-1519.com,104.21.66.203,cloudflare,ClickFix WebAssembly
mndce9.x9wug0b1y.christmas,N/A,cloudflare,New WebDAV
www.jichangyyds.christmas,N/A,cloudflare,New WebDAV
project-jetbrk03429.pages.dev,172.66.44.83,cloudflare,ClickFix WebAssembly
cspzm3hg.luxerabet1068.com,188.114.97.3,cloudflare,ClearFake
4w8jx8.etizwfbbh2l.christmas,N/A,cloudflare,New WebDAV
apple.support-page-1519.com,2606:4700:3031::6815:42cb,cloudflare,ClickFix WebAssembly
apple.support-page-1519.com,104.21.66.203,cloudflare,ClickFix WebAssembly
vn3oxoji.readthisintro.xyz,104.21.6.120,cloudflare,ClearFake
impur-treacheryperepelitsa.wiki,188.114.97.3,cloudflare,ClickFix WebDAV
gardenworkflowhub.garden,188.114.97.3,cloudflare,ClickFix WebDAV
spamgym.asia,172.67.197.145,cloudflare,ClickFix WebDAV
subterranean-mineral-map.garden,188.114.96.3,cloudflare,ClickFix WebDAV
s6adoo5q.filetak.com,,,ClearFake
9qdbp5gv.bet90forward.win,104.21.95.112,cloudflare,ClearFake
7eo6l6dj.bet90forward.win,104.21.95.112,cloudflare,ClearFake
vj7eaayr.fa1xbet.vip,,,ClearFake
i0wrocb4.bet90forward.win,172.67.144.166,cloudflare,ClearFake
sh6ze53a.bet90forward.win,172.67.144.166,cloudflare,ClearFake
olptz5o4.jadoou.beauty,188.114.97.3,cloudflare,ClearFake
xt19c0ua.casinomhub.bet,104.21.19.71,cloudflare,ClearFake
k9qxyqt8.jetbt8.online,,,ClearFake
vj7eaayr.fa1xbet.vip,,,ClearFake
qhy0wolx.casinomhub.bet,188.114.96.3,cloudflare,ClearFake
sax166rh.funkboi.com,104.21.84.82,cloudflare,ClearFake
impur-treacheryperepelitsa.wiki,188.114.97.3,cloudflare,ClickFix WebDAV
gardenworkflowhub.garden,188.114.96.3,cloudflare,ClickFix WebDAV
spamgym.asia,104.21.52.93,cloudflare,ClickFix WebDAV
subterranean-mineral-map.garden,188.114.96.3,cloudflare,ClickFix WebDAV
0lar9.hlygqfeddren.christmas,N/A,cloudflare,New WebDAV
4alk0.hlygqfeddren.christmas,N/A,cloudflare,New WebDAV
www.xbytfland.christmas,N/A,cloudflare,New WebDAV
37d389gt.botvn.net,104.21.12.238,cloudflare,ClearFake
ctng.lbzonuplhpfu.christmas,N/A,cloudflare,New WebDAV
rurhmgw2.readthisintro.xyz,104.21.6.120,cloudflare,ClearFake
arop4gtf.jetbt6.online,,,ClearFake
7g5swyfn.bazipoop.com,104.21.26.116,cloudflare,ClearFake
techapiguard.co,188.114.96.3,cloudflare,ClickFix WebDAV
8jkjxf31.jetbt7.online,,,ClearFake
k9qxyqt8.jetbt8.online,,,ClearFake
8aldchrh.jetbt9.online,,,ClearFake
195q2fia.readthisintro.xyz,104.21.6.120,cloudflare,ClearFake
ujlo7o5o.readthisintro.xyz,172.67.134.212,cloudflare,ClearFake
rurhmgw2.readthisintro.xyz,172.67.134.212,cloudflare,ClearFake
cr9i8up3.stgsolar.hu,188.114.96.3,cloudflare,ClearFake
vn3oxoji.readthisintro.xyz,172.67.134.212,cloudflare,ClearFake
b7tibc5u.luxerabet1000.com,104.21.42.49,cloudflare,ClearFake
arop4gtf.jetbt6.online,,,ClearFake
kn46xsmt.readthisintro.xyz,104.21.6.120,cloudflare,ClearFake
9sv9j.vfxkaamvvhky.christmas,N/A,cloudflare,New WebDAV
ydcgvobr.tarbiatbadani.xyz,188.114.96.3,cloudflare,ClearFake
rg6u6kf7.pokeray.com,104.21.42.189,cloudflare,ClearFake
1djqvowq.iaap2019.com,188.114.97.3,cloudflare,ClearFake
5bksyseg.betistmobil.com,104.21.20.74,cloudflare,ClearFake
yzqawgz5.7lf.net,188.114.97.3,cloudflare,ClearFake
sun8i9tk.luxerabet1000.com,172.67.200.193,cloudflare,ClearFake
6aq224cu.luxerabet100.com,188.114.96.3,cloudflare,ClearFake
7g5swyfn.bazipoop.com,172.67.168.67,cloudflare,ClearFake
8i927m8y.bcgamefarsi.com,188.114.97.3,cloudflare,ClearFake
195q2fia.readthisintro.xyz,172.67.134.212,cloudflare,ClearFake
ujlo7o5o.readthisintro.xyz,104.21.6.120,cloudflare,ClearFake
ujlo7o5o.readthisintro.xyz,104.21.6.120,cloudflare,ClearFake
as59n9n3.photoshopvn.net,188.114.96.3,cloudflare,ClearFake
iiamtrbo.liketudong.biz,188.114.96.3,cloudflare,ClearFake
252rti6f.letrungkien.info,188.114.97.3,cloudflare,ClearFake
eg125q1i.dvfb-vn.com,188.114.96.3,cloudflare,ClearFake
1aed1cm5.cloudzone.com.tr,172.67.128.19,cloudflare,ClearFake
mjvdhq4d.destek1.com,188.114.97.3,cloudflare,ClearFake
mszlnqlm.jetbet1.live,,,ClearFake
arop4gtf.jetbt6.online,,,ClearFake
99ytipqf.mayochem.com,,,ClearFake
8jkjxf31.jetbt7.online,,,ClearFake
k9qxyqt8.jetbt8.online,,,ClearFake
8aldchrh.jetbt9.online,,,ClearFake
gfwbeo2g.7lf.net,172.67.188.57,cloudflare,ClearFake
96mjt1sb.axee.net,172.67.159.195,cloudflare,ClearFake
cw5zuej3.baxus.net,188.114.96.3,cloudflare,ClearFake
sax166rh.funkboi.com,104.21.84.82,cloudflare,ClearFake
7d6da0ri.axee.net,104.21.9.110,cloudflare,ClearFake
ff4ekbmd.7lf.net,188.114.96.3,cloudflare,ClearFake
jw2wczuj.jetbet1.pro,,,ClearFake
t6h2yu60.luxerabet1000.com,104.21.42.49,cloudflare,ClearFake
qkqz220k.jetbet1.xyz,,,ClearFake
r8cgf6ux.luxerabet100.com,188.114.96.3,cloudflare,ClearFake
4iuq4imv.jetbet1.pro,,,ClearFake
cspzm3hg.luxerabet1068.com,188.114.96.3,cloudflare,ClearFake
0u9irsk6.luxerabet10.com,172.67.131.108,cloudflare,ClearFake
23q34ztp.luxerabet1.com,172.67.206.65,cloudflare,ClearFake
pf6n62u7.luxerabet5.com,104.21.94.60,cloudflare,ClearFake
b7tibc5u.luxerabet1000.com,104.21.42.49,cloudflare,ClearFake
nwtca6gs.schleer.hu,188.114.97.3,cloudflare,ClearFake
xqorxfh1.seresniki.com,188.114.97.3,cloudflare,ClearFake
nblvwres.stgsolar.hu,188.114.96.3,cloudflare,ClearFake
dsc8ybog.schleer.hu,188.114.97.3,cloudflare,ClearFake
avjquzsd.seresniki.com,188.114.96.3,cloudflare,ClearFake
9pkiisod.jetbet1.pro,,,ClearFake
cr9i8up3.stgsolar.hu,188.114.96.3,cloudflare,ClearFake
