Date (UTC),Age,Domain,IP,Server,Tag
27/08/2026 17:40,39 mins,zxuq0oha.bord90.bet,,,ClearFake
27/08/2026 05:41,12 hours,g1wgxqj5.nextbahis.one,,,ClearFake
27/08/2026 05:15,13 hours,wgp8mmcl.nextbahis.app,,,ClearFake
27/08/2026 04:18,14 hour,p43qsij4.nextbahis.one,,,ClearFake
27/08/2026 03:58,14 hours,hdz7omr1.nextbahis.blog,,,ClearFake
27/08/2026 02:01,16 hours,54snw6zk.nextbahis.coupons,,,ClearFake
27/08/2026 02:00,16 hours,vkm4ju.ieyxj18ognc.christmas,N/A,cloudflare,New WebDAV
27/08/2026 01:47,16 hours,tafhu17n.nextbahis.blog,,,ClearFake
27/08/2026 00:17,18 hours,qhy0wolx.casinomhub.bet,188.114.97.3,cloudflare,ClearFake
26/08/2026 23:49,18 hours,xt19c0ua.casinomhub.bet,188.114.96.3,cloudflare,ClearFake
26/08/2026 12:35,1 day,wgp8mmcl.nextbahis.app,,,ClearFake
26/08/2026 11:23,1 day,wgp8mmcl.nextbahis.app,,,ClearFake
26/08/2026 11:07,1 day,i0wrocb4.bet90forward.win,104.21.95.112,cloudflare,ClearFake
26/08/2026 07:15,1 day,54snw6zk.nextbahis.coupons,,,ClearFake
26/08/2026 06:04,1 day,54snw6zk.nextbahis.coupons,,,ClearFake
26/08/2026 04:48,1 day,kn46xsmt.readthisintro.xyz,172.67.134.212,cloudflare,ClearFake
25/08/2026 20:02,1 day,j2is56.8e6dvhs.christmas,N/A,cloudflare,New WebDAV
