"type","value","source"
"url","http://185.156.72.2/files/5297474040/aNXlZBn.exe","public"
"url","http://wersdfxcv.mygamesonline.org/view.php","public"
"url","http://www.gnlokn.info/lmor","public"
"url","http://www.hugeblockchain.xyz/1dpy","public"
"url","http://www.lucynoel6465.shop/1i64","public"
"url","http://www.nhc7tdkp6.live/d9kr","public"
"url","http://www.nullus.xyz/pf7y","public"
"url","http://www.svapo-discount.net/s956","public"
"url","https://lihi.cc/v3OyQ","public"
"url","https://mega.nz/file/SmxUiA4K#QoS_PYQDnJN4VtsSg5HoCv5eOK0AI1bL6Cw5lxA0zfI","public"
"url","https://tinyurl.com/3wnz46pv","public"
"ip","212.232.22.77","public"
"hash_sha256","037BDA8A7E324E378720FF143CA1810B95C78E74062913E9BC588AAC9AA55483","public"
"hash_sha256","03BC25AE7222A8142E06629D22C62900E9CD2554FF7D2B9D8836125C6C4FEA8C","public"
"hash_sha256","1572C35417C425433D03477D8E02784739337DB9C26DF25C0E6B2AA0444C0668","public"
"hash_sha256","160911C246A25CAE17454901FB2D7FB31E20DD0F5C12CBF686FFE24510F22EDE","public"
"hash_sha256","268C2B3286BB079EC6B047FE17321C7A98B24BF36C16598998DE4FC48B6BEDF9","public"
"hash_sha256","3E2F9C3B76C3B4D932783FAEB7AB25CFED3EDD939F58659E0AA92FD46A6B1111","public"
"hash_sha256","49C71B594BA808832900316AF90AB7CAC3E9AF825D5B7A081244913C8FED849F","public"
"hash_sha256","54B0949E3771E1B1DD7EABDBAF2ACFFE5E527EDAFC4A5FFA6AAEB0A6047479F1","public"
"hash_sha256","613985E6CB0783FA378100D464065C0CFAB636230ED76994D9DAED6B19AF3BE1","public"
"hash_sha256","96ADA593D54949707437FA39628960B1C5D142A5B1CB371339ACC8F86DBC7678","public"
"hash_sha256","B24316E81B6EBF954FAB7A87A211554CDE6986B239792610F8D234D05D2A2A1F","public"
"hash_sha256","B8C0D54F40D0C9DEAFA44860799A54A09C32CC795498BF0E9F2BEF49FA056288","public"
"hash_sha256","B905802B0E600F2988FB4D16EAA6EEC65ED3C5B9735B79DD9A00DFA4D7ABE65E","public"
"hash_sha256","B93632280602502B9480ABC7C4ACD5C7398004197C4A6013CCD2A4EE4C599591","public"
"hash_sha256","D6C3C83D8549C691972E8FE91277C579EFE83B731D5A1669D42692B0B3A17980","public"
"hash_sha256","D92BB6E47CB0A0BDBB51403528CCFE643A9329476AF53B5A729F04A4D2139647","public"
"hash_sha256","E4249CF9557799E8123E0B21B6A4BE5AB8B67D56DC5BFAD34A1D4E76F7FD2B19","public"
"domain","bitdefender-download.com","public"
"domain","boostcreatives.ai","public"
"domain","creativespro-ai.com","public"
"domain","luma-dreammachine.com","public"
"domain","pahalgamattack.com","public"
"domain","sindoor.live","public"
