"type","value","source"
"ip","172.86.93.139","public"
"domain","app-updater.app","public"
"domain","app-updater1.app","public"
"domain","app-updater2.app","public"
"domain","brproxy.868id.com","public"
"domain","businesshire.top","public"
"domain","dndhub.xyz","public"
"domain","dsgnfwd.xyz","public"
"domain","gobr.868id.com","public"
"domain","mktblend.monster","public"
"domain","nvidiasdk.fly.dev","public"
"domain","quasuar.com","public"
"domain","stategiq.quest","public"
"domain","www.cs01.shop","public"
"domain","xz.868id.com","public"
"domain","xzs.868id.com","public"
"url","http://64.137.9.118/__utm.gif","public"
"url","http://64.137.9.118/dpixel","public"
"url","https://1bjoijsh.requestrepo.com","public"
"url","https://64.137.9.118/api","public"
"url","https://od.lk/d/OTRfMTA3OTczMjQwXw/USCBC_20250811_Meeting_Info.7z","public"
"url","https://pastebin.com/raw/WcFQApJH","public"
"url","https://workdrive.zoho.com/file/f8h84a6732545e79d4afdb5e6d6bcaa343416","public"
"url","https://workdrive.zoho.com/file/pelj30e40fd96a6084862bef88daf476dac8d","public"
"hash_sha256","00A6514AA511BAD22C929C876F1B5EE08302B4FAC957E571BB9761466BAA7379","public"
"hash_sha256","0101D1EBF0088A408CA0FCC701579370CB4AC66CC96ABD01BC3EB52AAE0B42B1","public"
"hash_sha256","0109B0D2C690FED142DAD85CED4F1E277464ACC49DF4BEF3C5F5ED58F3925AED","public"
"hash_sha256","010E4F3487AE60E521E22671B7F521EA041A5A565DA120CEF4B6BE8473AE15EB","public"
"hash_sha256","0379146BC338FF3507663B7F56B0F581A012A200CBEDB8BAA7D7B217557E1375","public"
"hash_sha256","05868E17E1E731E70542A216FC66A038EE51FA43766412DE82AC8A401B654213","public"
"hash_sha256","05AE07783D30B37AA5F0FFFF86ADDE57D0D497FE915537A3FC010230B54E1EE8","public"
"hash_sha256","06413D9C3B99E52698ECDAD7BC10D76B8532D7D84484B83C73E57FDB5E5213F9","public"
"hash_sha256","065C1C2FB17BA1C3F882BEAD409215DF612673CD455698768ED71412F9190BA3","public"
"hash_sha256","07A81384135C5803B96A4D15901927C247EC966CFC45792DDF3E25BA47038461","public"
"hash_sha256","09833A745D4EA4744721FD53EFBA675A5527ECDC3B6DFAFC81847B759A8E9614","public"
"hash_sha256","0A52FC5B3EB4F75A126772127144CC7000E0B227CC6264F40DB6715103833BE3","public"
"hash_sha256","0C3EF02C70ABF8D19178606A7E1D6268CBEF5276AD5AC8BA80206703DD0D5301","public"
"hash_sha256","0EBC9F70EBA3C50C2E6BE8307F25E7CA572B1A26A1C37AF00B22549F6E0A8129","public"
"hash_sha256","10739E1F1CF3FF69DBEC5153797A1F723F65D371950007CE9F1E540EBDC974ED","public"
"hash_sha256","1173680F816928314D7ED973B7D0FCDB4EA55A3895B301408B14368120EE36D2","public"
"hash_sha256","156943B1DF6141AB7C2910B7CD5B8BCB2FFE839AA6C99D663ABF12588F11615B","public"
"hash_sha256","17891F7DB5A633C0186F3C2C8311A16A989B55BB0BA0430DA7D2AFB7F616C79C","public"
